호선,역사명,계(제곱미터),지상4층(제곱미터),지상3층(제곱미터),지상2층(제곱미터),지상1층(제곱미터),출입구(외부계단_통로)(제곱미터),지하1층(제곱미터),지하2층(제곱미터),지하3층(제곱미터),지하4층(제곱미터),지하5층(제곱미터)
1,설화명곡,8949.66,,,,,,3962.72,2709.87,2277.07,,
1,화  원,7477.15,,,,,,2826.31,2275,2375.84,,
1,대  곡,5888.36,,,,,,938.91,3045.92,1903.53,,
1,진  천,5181.09,,,,,,3385.21,1795.88,,,
1,월  배,5013.82,,,,,,3226.86,1786.96,,,
1,상  인,6593.05,,,,,,4687.58,1905.47,,,
1,월  촌,5921.94,,,,,,4032.16,1889.78,,,
1,송  현,7941.04,,,,,,2997.58,2994.21,1949.25,,
1,서부정류장,7627.31,,,,,,5066.85,2560.46,,,
1,대  명,5158.23,,,,,,3295.04,1863.19,,,
1,안지랑,5119.55,,,,,,3349.3,1770.25,,,
1,현충로,5776.2,,,,,,3643.95,2132.25,,,
1,영대병원,5753.82,,,,,,3971.57,1782.25,,,
1,교  대,8456.38,,,,,,3097.06,3214.92,2144.4,,
1,명  덕,5948.61,,,,,,3796.86,2151.75,,,
1,반월당,8743.26,,,,,,1414.86,4664.1,2664.3,,
1,중앙로,10455.61,,,,,,4224.42,4625.69,1605.5,,
1,대구역,9395.25,,,,761.42,,2754.02,3387.15,2492.66,,
1,칠성시장,8736.53,,,,,,3509.1,3244.63,1982.8,,
1,신  천,6731.87,,,,,,4872.47,1859.4,,,
1,동대구,13941.69,,,,,,5718.06,4642.54,3581.09,,
1,동구청,5361.37,,,,,,3434.49,1926.88,,,
1,아양교,9837.25,,,,,,931.26,3012.2,3884.64,2009.15,
1,동  촌,8991.36,,,,,,992.32,2958.2,3048.24,1992.6,
1,해  안,6767.6,,,,,,1836.55,3029.25,1901.8,,
1,방  촌,6186.21,,,,,,3624.91,2561.3,,,
1,용  계,5130.27,,,,,,3336.83,1793.44,,,
1,율  하,5989.7,,,,,,4084.26,1905.44,,,
1,신  기,6794.67,,,,,,4023.63,2771.04,,,
1,반야월,5386.57,,,,,,3479.07,1907.5,,,
1,각  산,4976.2,,,,,,3169.45,1806.75,,,
1,안  심,5124.58,,,,,,3798.48,1326.1,,,
2,문  양,17422.21,1653.9,4450.13,5686.6,5631.58,,,,,,
2,다  사,5767.86,,,,,,3662.2,2105.66,,,
2,대  실,8601.17,,,,,,3651.78,3026.68,1922.71,,
2,강  창,10347.25,,,,,,4393.39,3513.38,2440.48,,
2,계명대,10795.48,,,,,,3538.17,4408.66,2848.65,,
2,성서공단,10370.89,,,,,,4677.52,3951.91,1741.46,,
2,이  곡,9198.85,,,,,,1451.02,2261.73,1759.37,2072.83,1653.9
2,용  산,17941.25,,,,,,11747.25,4540.1,1653.9,,
2,죽  전,10979.25,,,,,,4550.7,2316.38,2374.03,1738.14,
2,감  삼,6136.4,,,,,,2585.88,1896.62,1653.9,,
2,두  류,6888.54,,,,,,,4657.77,2230.77,,
2,내  당,6760.99,,,,,,2959.96,2153.09,1647.94,,
2,반고개,8391,,,,,,3455.58,3333.48,1601.94,,
2,청라언덕,10805.93,,,,,,3365.98,2940.84,2636.61,1862.5,
2,반월당,15861,,,,,,,,13604,2257,
2,경대병원,10519.77,,,,,,4783.83,3790,1945.94,,
2,대구은행,9553.53,,,,,,4330.11,3192,2031.42,,
2,범  어,8318.3,,,,,,1926.61,1331.55,3172.3,1887.84,
2,수성구청,9301.66,,,,,,832.11,3396.6,3371.97,1700.98,
2,만  촌,8972.28,,,,,,3666.97,3412.65,1892.66,,
2,담  티,8078.87,,,,,,2581.23,1936.7,1863.95,1696.99,
2,연  호,6162.56,,,,,,1630.63,2862.4,1669.53,,
2,대공원,16944.63,,,,,,3895.23,3298.94,3374.21,3120.6,3255.65
2,고  산,7819.79,,,,,,2891.58,2340.39,2587.82,,
2,신  매,7966.2,,,,,,2044.15,3719.9,2202.15,,
2,사  월,8653.66,,,,,,2586.21,2118.25,2271.05,1678.15,
2,정  평,6459.96,,,,,,4343.84,2116.12,,,
2,임  당,9607.73,,,,,,4429.01,2688.33,2490.39,,
2,영남대,8945.39,,,,,,3449.7,2808.21,2687.48,,
3,칠곡경대병원,1933.232,,868.53,643.42,,421.277,,,,,
3,학  정,1896.399,,868.53,643.42,,384.444,,,,,
3,팔  거,2023.685,,868.53,643.42,,511.73,,,,,
3,동  천,2213.545,,,1221.55,869.04,122.96,,,,,
3,칠곡운암,1904.005,,,961.5,762.84,179.67,,,,,
3,구암(과학대 ·보건대입구),1923.105,,,961.5,762.84,198.77,,,,,
3,태  전,1900.855,,,961.5,762.84,176.52,,,,,
3,매  천,2039.035,,,1050.63,843.66,144.75,,,,,
3,매천시장,2120.155,,,1078.25,882.36,159.55,,,,,
3,팔  달,2141.195,,,1077.1,843.66,220.44,,,,,
3,공  단,1829.133,,965.46,828.85,,34.82,,,,,
3,만  평,2444.565,,1322.14,767.05,,355.3795846,,,,,
3,팔달시장,2195.953,,1082.53,1077.1,,36.32,,,,,
3,원  대,1829.133,,965.46,828.85,,34.82,,,,,
3,북구청,1892.35,,878.95,334.08,,271.76,407.56,,,,
3,달성공원,2081.03,,881.98,334.08,,278.22,586.75,,,,
3,서문시장,1958.51,,921.96,352.1,,281.95,402.5,,,,
3,청라언덕,2895.68,,1263.97,1001.45,,394.03,236.23,,,,
3,남산(계명네거리),3016.01,,1077.89,232.8,840.63,,864.69,,,,
3,명  덕,3542.626,,1105.42,869.15,,597.504,970.55,,,,
3,건들바위,1915.381,,830.94,704.69,,379.76,,,,,
3,대봉교,1988.114,,830.28,704.69,,453.15,,,,,
3,수성시장,2405.997,,830.94,474.11,,317.94,783.01,,,,
3,수성구민운동장,1975.774,,972.49,809.54,,193.745,,,,,
3,어린이회관,2430.455,,1228.43,880.13,,321.9,,,,,
3,황  금,2425.305,,1260.48,893.29,,271.54,,,,,
3,수성못(TBC),2392.855,,1221.86,878.14,,292.86,,,,,
3,지  산,1647.423,,844.52,711.94,,90.961,,,,,
3,범  물,1888.777,,844.52,711.94,,332.315,,,,,
3,용  지,2064.753,,844.52,711.94,,508.291,,,,,
