호선,역명,위도,경도
1,대곡,128.512486,35.80943825
1,교대,128.5905961,35.85009547
1,각산,128.724166,35.86800191
1,대구역,128.5972156,35.8763437
1,대명,128.5653785,35.83931538
1,동구청,128.6320835,35.88423782
1,동촌,128.6504589,35.88596368
1,동대구역,128.6273251,35.87742984
1,명덕1,128.5911511,35.85795208
1,반야월,128.7132065,35.86621082
1,상인,128.5378974,35.81895223
1,방촌,128.6701203,35.87963776
1,반월당1,128.5934942,35.8655039
1,서부정류장,128.5570275,35.83712619
1,설화명곡,128.4892596,35.79867292
1,송현,128.551747,35.83106798
1,신천,128.6176506,35.87463437
1,신기,128.7024758,35.86670008
1,아양교,128.639646,35.88711889
1,안심,128.7337722,35.87127992
1,용계,128.6816429,35.8762451
1,영대병원,128.5876197,35.84395394
1,월배,128.530326,35.81614135
1,안지랑,128.573175,35.83926584
1,월촌,128.5454907,35.82373328
1,율하,128.6927784,35.8697782
1,진천,128.5231144,35.81389041
1,중앙로,128.5940134,35.87096445
1,해안,128.6599186,35.88350341
1,칠성시장,128.6051696,35.87612653
2,감삼,128.5479033,35.85423495
2,강창,128.4783435,35.85307787
1,현충로,128.5819214,35.84117266
1,화원,128.5006787,35.80443418
2,계명대,128.4919786,35.85150372
2,경대병원,128.6028004,35.86320099
2,내당,128.5647428,35.86017698
2,담티,128.6535326,35.8545934
2,고산,128.6938547,35.84287054
2,두류,128.5566063,35.85754682
2,다사,128.4585444,35.86472894
2,대실,128.4656589,35.85727725
2,대공원,128.6611082,35.83410413
2,대구은행,128.6142241,35.85973636
2,문양,128.4370925,35.86407956
2,만촌,128.6453761,35.85857519
2,반월당2,128.5934942,35.8655039
2,사월,128.7153621,35.83676687
2,반고개,128.5725548,35.86219912
2,연호,128.6718396,35.84645909
2,범어,128.6244551,35.85901535
2,신매,128.70436,35.84071466
2,성서산업단지,128.5072505,35.85173007
2,수성구청,128.6361252,35.85842051
2,용산,128.5283918,35.84896527
2,영남대,128.7521479,35.83583382
2,임당,128.7413845,35.83401347
2,이곡,128.5157678,35.85062066
2,죽전,128.5383909,35.85054357
3,구암,128.5503258,35.92566178
3,공단,128.5536588,35.89180694
2,정평,128.7291977,35.83398098
2,청라언덕2,128.5824699,35.86490864
3,건들바위,128.5996296,35.85534949
3,남산,128.5832263,35.85668226
3,달성공원,128.582081,35.87564976
3,대봉교,128.6062056,35.85494833
3,동천,128.5566391,35.93770707
3,매천시장,128.545781,35.90443095
3,북구청,128.5813668,35.88398392
3,범물,128.6402331,35.82068188
3,만평,128.5610726,35.88984117
3,명덕3,128.5903535,35.85688285
3,매천,128.5433761,35.91276247
3,서문시장,128.5822385,35.86979901
3,수성구민운동장,128.6253523,35.85244449
3,수성못,128.6236049,35.83141565
3,수성시장,128.6160158,35.85426708
3,용지,128.646876,35.81837829
3,칠곡경대병원,128.5598836,35.95843674
3,청라언덕3,128.5823678,35.86415495
3,어린이회관,128.6248375,35.84508715
3,원대,128.5743943,35.88778077
3,지산,128.6315511,35.8251239
3,태전,128.5473937,35.9196704
3,칠곡운암,128.5545508,35.93147855
3,팔거,128.5583614,35.94407941
3,팔달시장,128.5678907,35.8888395
3,학정,128.559189,35.95158747
3,팔달,128.5467202,35.89782514
3,황금,128.6243003,35.83919054
